date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-06-15,64.1,65.16,64.67,64.02,666582.75,0.23,0.36,63.954,63.731,62.891,640096.61,676043.15,596372.12
2018-06-14,63.58,65.35,64.42,63.45,798484.69,0.67,1.05,63.498,63.428,62.81,622658.34,650185.63,591355.65
2018-06-13,63.8,63.91,63.78,63.35,459053.25,-0.12,-0.19,63.258,63.203,62.687,612214.76,636876.0,575320.53
2018-06-12,63.2,64.25,63.89,62.82,763559.25,0.86,1.36,63.264,62.885,62.637,618448.17,640054.33,580343.58
2018-06-11,62.25,63.2,63.01,61.85,512803.12,0.62,0.99,63.402,62.733,62.643,642770.83,627345.85,568642.08
2018-06-08,62.97,63.24,62.39,61.95,579391.38,-0.85,-1.34,63.508,62.681,62.698,711989.68,621960.42,577187.38
2018-06-07,63.27,64.54,63.22,63.02,746266.81,0.61,0.97,63.358,62.598,62.733,677712.93,599414.25,570823.09
2018-06-06,64.43,64.45,63.81,63.71,490220.28,-0.77,-1.19,63.148,62.401,62.731,661537.23,568938.89,558418.66
2018-06-05,63.59,65.0,64.58,63.21,885172.56,1.05,1.65,62.506,62.197,62.689,661660.5,576832.32,558129.2
2018-06-04,62.1,63.71,63.54,61.9,858897.38,1.9,3.08,62.064,62.039,62.614,611920.87,532084.27,572606.6
2018-06-01,61.91,62.19,61.64,61.28,408007.62,-0.49,-0.79,61.854,62.051,62.496,531931.15,516701.1,571134.12
2018-05-31,61.11,62.18,62.17,60.71,665388.31,1.52,2.51,61.838,62.191,62.449,521115.56,532525.67,572813.08
2018-05-30,61.31,61.7,60.6,60.58,490836.62,-1.78,-2.85,61.654,62.171,62.41,476340.56,513765.06,570999.93
2018-05-29,62.32,62.66,62.37,61.3,636474.44,-0.13,-0.21,61.888,62.389,62.449,492004.13,520632.83,581903.53
2018-05-28,61.8,62.88,62.49,61.55,458948.75,0.96,1.56,62.014,62.553,62.375,452247.67,509938.31,680222.93
2018-05-25,61.38,62.18,61.56,61.34,353929.69,0.34,0.56,62.248,62.714,62.408,501471.06,532414.35,699353.18
2018-05-24,61.96,62.27,61.25,61.16,441513.28,-0.51,-0.83,62.544,62.868,62.605,543935.77,542231.93,705548.08
2018-05-23,62.95,62.95,61.77,61.67,569154.5,-1.24,-1.97,62.688,63.061,62.87,551189.56,547898.44,728820.12
2018-05-22,63.58,63.84,63.0,62.5,437692.12,-0.66,-1.04,62.89,63.18,63.032,549261.53,539426.09,727585.73
2018-05-21,63.55,64.15,63.66,63.27,705065.69,0.62,0.98,63.092,63.188,63.089,567628.95,613128.94,735868.16
2018-05-18,61.88,63.12,63.04,61.59,566253.25,1.04,1.68,63.18,62.941,63.13,563357.65,625567.15,736938.56
2018-05-17,63.09,63.19,61.97,61.94,477782.22,-0.84,-1.34,63.192,62.706,63.151,540528.1,613100.5,746868.17
2018-05-16,63.68,63.92,62.78,62.63,559514.38,-1.19,-1.86,63.434,62.649,63.21,544607.31,628234.81,764562.71
2018-05-15,64.5,64.59,64.01,63.4,529529.19,-0.09,-0.14,63.47,62.508,63.286,529590.64,643174.22,777068.97
2018-05-14,63.7,64.58,64.1,63.5,683709.19,1.0,1.58,63.284,62.197,63.394,658628.92,850507.55,773911.79
